timestamp,gesture,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
42,shake,-0.95,1.61,1.31,120.06,-125.61,180.73
43,shake,-0.56,0.87,0.99,95.21,-145.94,212.16
44,shake,-0.17,-0.06,0.56,38.70,-163.33,215.21
45,shake,0.14,-1.08,0.00,-60.12,-172.97,179.57
46,shake,0.39,-2.01,-0.56,-305.30,-130.25,12.08
47,shake,0.57,-2.77,-0.99,-356.38,-75.74,-83.92
48,shake,0.66,-3.27,-1.21,-331.05,-4.33,-168.33
49,shake,0.60,-3.36,-1.10,-250.92,70.86,-236.57
50,shake,0.46,-2.93,-0.64,-152.47,129.58,-288.15
51,shake,0.32,-2.19,0.00,-72.33,160.46,-324.40
52,shake,-0.09,-0.67,1.25,-29.11,166.02,-352.11
53,shake,-0.33,0.35,1.71,-14.47,152.34,-376.46
54,shake,-0.58,1.61,2.03,-18.86,125.00,-390.26
55,shake,-0.89,2.91,2.23,-42.60,88.99,-376.28
56,shake,-1.21,3.88,2.33,-74.40,46.51,-318.05
57,shake,-1.39,4.00,2.28,-90.70,-1.34,-207.82
58,shake,-1.34,4.00,2.06,-79.47,-49.07,-52.55
59,shake,-1.06,3.94,1.75,20.02,-120.42,288.51
60,shake,-0.62,3.46,1.44,107.42,-142.58,428.16
61,shake,-0.03,2.60,1.16,204.96,-159.73,540.10
62,shake,0.65,1.43,0.86,278.38,-175.05,620.85
63,shake,1.30,-0.05,0.36,282.96,-181.88,647.52
64,shake,1.72,-1.94,-0.49,186.77,-161.68,578.43
65,shake,1.41,-4.00,-2.31,2.32,-92.59,385.44
66,shake,1.19,-4.00,-2.08,-197.88,15.32,105.59
67,shake,1.08,-4.00,-1.11,-320.80,107.73,-163.39
68,shake,1.00,-3.59,-0.22,-315.61,141.72,-338.56
69,shake,0.96,-2.90,0.14,-200.44,129.09,-406.68
70,shake,0.98,-2.11,0.14,-45.65,113.95,-409.24
71,shake,0.92,-1.27,0.28,72.69,128.48,-395.20
72,shake,0.67,-0.21,0.86,120.36,169.80,-393.55
73,shake,0.24,1.15,1.74,74.40,208.92,-398.32
74,shake,-0.29,2.68,2.53,40.10,169.56,-353.15
75,shake,-0.82,3.87,2.94,20.14,105.65,-258.48
76,shake,-1.22,4.00,2.97,17.40,38.88,-129.33
77,shake,-1.42,4.00,2.80,29.30,-21.79,4.39
78,shake,-1.15,3.84,2.25,44.49,-75.07,121.52
79,shake,-0.74,3.29,1.89,51.76,-120.18,217.53
80,shake,-0.28,2.22,1.46,44.86,-155.94,291.50
81,shake,0.19,0.82,0.95,22.34,-178.41,337.52
82,shake,0.62,-0.69,0.39,-10.13,-180.85,350.46
83,shake,0.96,-2.27,-0.23,-41.44,-158.75,331.12
84,shake,1.08,-3.64,-0.91,-60.36,-113.83,275.51
85,shake,0.93,-4.00,-1.44,-71.41,-49.07,169.92
86,shake,0.72,-4.00,-1.46,-104.61,95.15,-153.38
87,shake,0.60,-3.74,-0.90,-99.67,138.00,-285.03
88,shake,0.50,-2.64,-0.12,-65.61,150.70,-351.62
89,shake,0.32,-1.21,0.51,-18.86,153.75,-360.05
90,shake,0.01,0.26,1.06,17.27,159.00,-333.86
91,shake,-0.38,1.74,1.68,37.17,154.11,-283.81
92,shake,-1.16,3.94,2.57,44.68,127.56,-207.58
93,shake,-1.37,4.00,2.67,46.69,82.28,-108.03
94,shake,-1.37,4.00,2.63,52.55,25.63,3.23
95,shake,-1.16,3.83,2.52,59.02,-36.13,112.24
96,shake,-0.77,3.16,2.30,52.43,-97.11,208.74
97,shake,-0.27,2.03,1.87,24.66,-153.56,283.39
98,shake,0.23,0.60,1.23,-17.40,-199.46,327.58
99,shake,0.64,-0.97,0.50,-54.38,-220.46,339.29
100,shake,0.88,-2.58,-0.22,-60.55,-145.75,259.89
101,shake,0.91,-3.83,-0.87,-41.69,-65.31,157.71
102,shake,0.81,-4.00,-1.34,-35.22,18.43,14.34
103,shake,0.70,-4.00,-1.39,-41.26,88.75,-141.54
104,shake,0.59,-3.77,-0.97,-39.31,135.31,-269.96
105,shake,0.50,-1.52,0.19,-18.37,157.35,-347.41
106,shake,0.37,-0.14,0.66,10.80,167.24,-374.69
107,shake,0.11,1.15,1.18,27.95,174.19,-367.25
108,shake,-0.25,2.37,1.77,24.48,174.50,-337.52
109,shake,-0.66,3.45,2.31,6.47,159.91,-284.36
110,shake,-1.00,4.00,2.61,-9.22,121.83,-203.43
111,shake,-1.14,4.00,2.61,-9.09,61.58,-98.69
112,shake,-1.09,4.00,2.46,2.93,-6.29,16.85
113,shake,-0.86,3.76,2.26,20.57,-120.06,228.88
114,shake,-0.50,3.09,2.00,15.75,-163.57,309.94
115,shake,-0.12,2.13,1.71,0.55,-195.92,369.32
116,shake,0.22,1.06,1.36,-16.05,-208.56,405.82
117,shake,0.54,-0.10,0.95,-25.02,-193.97,416.99
118,shake,0.81,-1.32,0.56,-23.44,-155.03,399.35
